Year,County,PQI,PQIDescription,Count_ICD10,Population_ICD10,ObsRate_ICD10
2020,Butte,14,Uncontrolled Diabetes,143,"167,698",85.3
2021,Butte,14,Uncontrolled Diabetes,136,"164,365",82.7
2022,Butte,14,Uncontrolled Diabetes,100,"165,784",60.3
2016,Butte,93,Diabetes Composite,496,"180,760",274.4
2017,Butte,93,Diabetes Composite,559,"182,932",305.6
2018,Butte,93,Diabetes Composite,488,"184,337",264.7
2019,Butte,93,Diabetes Composite,548,"174,575",313.9
2020,Butte,93,Diabetes Composite,524,"167,698",312.5
2021,Butte,93,Diabetes Composite,532,"164,365",323.7
2022,Butte,93,Diabetes Composite,522,"165,784",314.9
2016,Calaveras,1,Diabetes Short-term Complications,18,"37,568",47.9
2017,Calaveras,1,Diabetes Short-term Complications,34,"37,872",89.8
2018,Calaveras,1,Diabetes Short-term Complications,20,"37,987",52.6
2019,Calaveras,1,Diabetes Short-term Complications,19,"38,289",49.6
2020,Calaveras,1,Diabetes Short-term Complications,24,"37,673",63.7
2021,Calaveras,1,Diabetes Short-term Complications,18,"38,312",47.0
2022,Calaveras,1,Diabetes Short-term Complications,24,"38,508",62.3
2016,Calaveras,3,Diabetes Long-term Complications,45,"37,568",119.8
2017,Calaveras,3,Diabetes Long-term Complications,50,"37,872",132.0
2018,Calaveras,3,Diabetes Long-term Complications,43,"37,987",113.2
2019,Calaveras,3,Diabetes Long-term Complications,24,"38,289",62.7
2020,Calaveras,3,Diabetes Long-term Complications,34,"37,673",90.3
2021,Calaveras,3,Diabetes Long-term Complications,33,"38,312",86.1
2022,Calaveras,3,Diabetes Long-term Complications,31,"38,508",80.5
2016,Calaveras,14,Uncontrolled Diabetes,12,"37,568",31.9
2017,Calaveras,14,Uncontrolled Diabetes,14,"37,872",37.0
2018,Calaveras,14,Uncontrolled Diabetes,11,"37,987",29.0
2019,Calaveras,14,Uncontrolled Diabetes,7,"38,289",18.3
2020,Calaveras,14,Uncontrolled Diabetes,7,"37,673",18.6
2021,Calaveras,14,Uncontrolled Diabetes,7,"38,312",18.3
2022,Calaveras,14,Uncontrolled Diabetes,5,"38,508",13.0
2016,Calaveras,93,Diabetes Composite,80,"37,568",212.9
2017,Calaveras,93,Diabetes Composite,106,"37,872",279.9
2018,Calaveras,93,Diabetes Composite,83,"37,987",218.5
2019,Calaveras,93,Diabetes Composite,64,"38,289",167.1
2020,Calaveras,93,Diabetes Composite,67,"37,673",177.8
2021,Calaveras,93,Diabetes Composite,62,"38,312",161.8
2022,Calaveras,93,Diabetes Composite,70,"38,508",181.8
2016,Colusa,1,Diabetes Short-term Complications,10,"15,519",64.4
2017,Colusa,1,Diabetes Short-term Complications,6,"15,549",38.6
2018,Colusa,1,Diabetes Short-term Complications,6,"15,514",38.7
2019,Colusa,1,Diabetes Short-term Complications,3,"15,645",19.2
2020,Colusa,1,Diabetes Short-term Complications,8,"15,973",50.1
2021,Colusa,1,Diabetes Short-term Complications,17,"16,109",105.5
2022,Colusa,1,Diabetes Short-term Complications,7,"16,137",43.4
2016,Colusa,3,Diabetes Long-term Complications,12,"15,519",77.3
2017,Colusa,3,Diabetes Long-term Complications,17,"15,549",109.3
2018,Colusa,3,Diabetes Long-term Complications,25,"15,514",161.1
2019,Colusa,3,Diabetes Long-term Complications,12,"15,645",76.7
2020,Colusa,3,Diabetes Long-term Complications,21,"15,973",131.5
2021,Colusa,3,Diabetes Long-term Complications,16,"16,109",99.3
2022,Colusa,3,Diabetes Long-term Complications,12,"16,137",74.4
2016,Colusa,14,Uncontrolled Diabetes,1,"15,519",6.4
2017,Colusa,14,Uncontrolled Diabetes,7,"15,549",45.0
2018,Colusa,14,Uncontrolled Diabetes,8,"15,514",51.6
2019,Colusa,14,Uncontrolled Diabetes,12,"15,645",76.7
2020,Colusa,14,Uncontrolled Diabetes,10,"15,973",62.6
2021,Colusa,14,Uncontrolled Diabetes,16,"16,109",99.3
2022,Colusa,14,Uncontrolled Diabetes,10,"16,137",62.0
2016,Colusa,93,Diabetes Composite,25,"15,519",161.1
2017,Colusa,93,Diabetes Composite,32,"15,549",205.8
2018,Colusa,93,Diabetes Composite,42,"15,514",270.7
2019,Colusa,93,Diabetes Composite,31,"15,646",198.1
2020,Colusa,93,Diabetes Composite,41,"15,973",256.7
2021,Colusa,93,Diabetes Composite,54,"16,109",335.2
2022,Colusa,93,Diabetes Composite,32,"16,137",198.3
2016,Contra Costa,1,Diabetes Short-term Complications,418,"874,355",47.8
2017,Contra Costa,1,Diabetes Short-term Complications,409,"883,122",46.3
2018,Contra Costa,1,Diabetes Short-term Complications,453,"890,018",50.9
2019,Contra Costa,1,Diabetes Short-term Complications,397,"894,163",44.4
2020,Contra Costa,1,Diabetes Short-term Complications,409,"906,522",45.1
2021,Contra Costa,1,Diabetes Short-term Complications,487,"908,651",53.6
2022,Contra Costa,1,Diabetes Short-term Complications,484,"906,227",53.4
2016,Contra Costa,3,Diabetes Long-term Complications,591,"874,355",67.6
2017,Contra Costa,3,Diabetes Long-term Complications,717,"883,122",81.2
2018,Contra Costa,3,Diabetes Long-term Complications,667,"890,018",74.9
2019,Contra Costa,3,Diabetes Long-term Complications,724,"894,163",81.0
2020,Contra Costa,3,Diabetes Long-term Complications,635,"906,522",70.0
2021,Contra Costa,3,Diabetes Long-term Complications,675,"908,651",74.3
2022,Contra Costa,3,Diabetes Long-term Complications,720,"906,227",79.5
2016,Contra Costa,14,Uncontrolled Diabetes,219,"874,355",25.0
2017,Contra Costa,14,Uncontrolled Diabetes,165,"883,122",18.7
2018,Contra Costa,14,Uncontrolled Diabetes,195,"890,018",21.9
2019,Contra Costa,14,Uncontrolled Diabetes,190,"894,163",21.2
2020,Contra Costa,14,Uncontrolled Diabetes,154,"906,522",17.0
2021,Contra Costa,14,Uncontrolled Diabetes,191,"908,651",21.0
2022,Contra Costa,14,Uncontrolled Diabetes,182,"906,227",20.1
2016,Contra Costa,93,Diabetes Composite,"1,314","874,355",150.3
2017,Contra Costa,93,Diabetes Composite,"1,377","883,122",155.9
2018,Contra Costa,93,Diabetes Composite,"1,398","890,018",157.1
2019,Contra Costa,93,Diabetes Composite,"1,372","894,163",153.4
2020,Contra Costa,93,Diabetes Composite,"1,277","906,522",140.9
2021,Contra Costa,93,Diabetes Composite,"1,447","908,651",159.2
2022,Contra Costa,93,Diabetes Composite,"1,453","906,227",160.3
2016,Del Norte,1,Diabetes Short-term Complications,11,"21,562",51.0
2017,Del Norte,1,Diabetes Short-term Complications,12,"21,395",56.1
2018,Del Norte,1,Diabetes Short-term Complications,13,"21,889",59.4
2019,Del Norte,1,Diabetes Short-term Complications,16,"22,021",72.7
2020,Del Norte,1,Diabetes Short-term Complications,13,"21,848",59.5
2021,Del Norte,1,Diabetes Short-term Complications,10,"21,781",45.9
2022,Del Norte,1,Diabetes Short-term Complications,12,"21,423",56.0
2016,Del Norte,3,Diabetes Long-term Complications,11,"21,562",51.0
2017,Del Norte,3,Diabetes Long-term Complications,9,"21,395",42.1
2018,Del Norte,3,Diabetes Long-term Complications,11,"21,889",50.3
2019,Del Norte,3,Diabetes Long-term Complications,13,"22,021",59.0
2020,Del Norte,3,Diabetes Long-term Complications,14,"21,848",64.1
2021,Del Norte,3,Diabetes Long-term Complications,13,"21,781",59.7
2022,Del Norte,3,Diabetes Long-term Complications,24,"21,423",112.0
2016,Del Norte,14,Uncontrolled Diabetes,2,"21,562",9.3
2017,Del Norte,14,Uncontrolled Diabetes,8,"21,395",37.4
2018,Del Norte,14,Uncontrolled Diabetes,3,"21,889",13.7
2019,Del Norte,14,Uncontrolled Diabetes,4,"22,021",18.2
2020,Del Norte,14,Uncontrolled Diabetes,1,"21,848",4.6
2021,Del Norte,14,Uncontrolled Diabetes,4,"21,781",18.4
2022,Del Norte,14,Uncontrolled Diabetes,4,"21,423",18.7
2016,Del Norte,93,Diabetes Composite,25,"21,562",115.9
2017,Del Norte,93,Diabetes Composite,30,"21,395",140.2
2018,Del Norte,93,Diabetes Composite,28,"21,889",127.9
2019,Del Norte,93,Diabetes Composite,36,"22,021",163.5
2020,Del Norte,93,Diabetes Composite,31,"21,848",141.9
2021,Del Norte,93,Diabetes Composite,31,"21,781",142.3
2022,Del Norte,93,Diabetes Composite,43,"21,423",200.7
2016,El Dorado,1,Diabetes Short-term Complications,82,"148,231",55.3
2017,El Dorado,1,Diabetes Short-term Complications,100,"150,815",66.3
2018,El Dorado,1,Diabetes Short-term Complications,107,"152,985",69.9
2019,El Dorado,1,Diabetes Short-term Complications,96,"154,934",62.0
2020,El Dorado,1,Diabetes Short-term Complications,102,"153,507",66.4
2021,El Dorado,1,Diabetes Short-term Complications,114,"155,945",73.1
2022,El Dorado,1,Diabetes Short-term Complications,107,"155,421",68.8
2016,El Dorado,3,Diabetes Long-term Complications,75,"148,231",50.6
2017,El Dorado,3,Diabetes Long-term Complications,88,"150,815",58.3
2018,El Dorado,3,Diabetes Long-term Complications,72,"152,985",47.1
2019,El Dorado,3,Diabetes Long-term Complications,66,"154,934",42.6
2020,El Dorado,3,Diabetes Long-term Complications,83,"153,507",54.1
2021,El Dorado,3,Diabetes Long-term Complications,85,"155,945",54.5
2022,El Dorado,3,Diabetes Long-term Complications,86,"155,421",55.3
2016,El Dorado,14,Uncontrolled Diabetes,24,"148,231",16.2
2017,El Dorado,14,Uncontrolled Diabetes,31,"150,815",20.6
2018,El Dorado,14,Uncontrolled Diabetes,37,"152,985",24.2
2019,El Dorado,14,Uncontrolled Diabetes,22,"154,934",14.2
2020,El Dorado,14,Uncontrolled Diabetes,30,"153,507",19.5
2021,El Dorado,14,Uncontrolled Diabetes,28,"155,945",18.0
2022,El Dorado,14,Uncontrolled Diabetes,22,"155,421",14.2
2016,El Dorado,93,Diabetes Composite,192,"148,231",129.5
2017,El Dorado,93,Diabetes Composite,230,"150,815",152.5
2018,El Dorado,93,Diabetes Composite,229,"152,985",149.7
2019,El Dorado,93,Diabetes Composite,188,"154,934",121.3
2020,El Dorado,93,Diabetes Composite,226,"153,507",147.2
2021,El Dorado,93,Diabetes Composite,239,"155,945",153.3
2022,El Dorado,93,Diabetes Composite,235,"155,421",151.2
2016,Fresno,1,Diabetes Short-term Complications,628,"695,789",90.3
2017,Fresno,1,Diabetes Short-term Complications,641,"703,065",91.2
2018,Fresno,1,Diabetes Short-term Complications,670,"709,386",94.4
2019,Fresno,1,Diabetes Short-term Complications,642,"715,902",89.7
2020,Fresno,1,Diabetes Short-term Complications,660,"725,899",90.9
2021,Fresno,1,Diabetes Short-term Complications,715,"730,566",97.9
2022,Fresno,1,Diabetes Short-term Complications,825,"734,510",112.3
2016,Fresno,3,Diabetes Long-term Complications,852,"695,789",122.5
2017,Fresno,3,Diabetes Long-term Complications,"1,053","703,065",149.8
2018,Fresno,3,Diabetes Long-term Complications,950,"709,386",133.9
2019,Fresno,3,Diabetes Long-term Complications,"1,113","715,902",155.5
2020,Fresno,3,Diabetes Long-term Complications,"1,016","725,899",140.0
2021,Fresno,3,Diabetes Long-term Complications,"1,157","730,566",158.4
2022,Fresno,3,Diabetes Long-term Complications,"1,157","734,510",157.5
2016,Fresno,14,Uncontrolled Diabetes,294,"695,789",42.3
2017,Fresno,14,Uncontrolled Diabetes,243,"703,065",34.6
2018,Fresno,14,Uncontrolled Diabetes,261,"709,386",36.8
2019,Fresno,14,Uncontrolled Diabetes,260,"715,902",36.3
2020,Fresno,14,Uncontrolled Diabetes,251,"725,899",34.6
2021,Fresno,14,Uncontrolled Diabetes,239,"730,566",32.7
2022,Fresno,14,Uncontrolled Diabetes,304,"734,510",41.4
2016,Fresno,93,Diabetes Composite,"1,911","695,789",274.7
2017,Fresno,93,Diabetes Composite,"2,094","703,065",297.8
2018,Fresno,93,Diabetes Composite,"2,045","709,386",288.3
2019,Fresno,93,Diabetes Composite,"2,189","715,902",305.8
2020,Fresno,93,Diabetes Composite,"2,101","725,899",289.4
2021,Fresno,93,Diabetes Composite,"2,263","730,566",309.8
2022,Fresno,93,Diabetes Composite,"2,452","734,510",333.8
2016,Glenn,1,Diabetes Short-term Complications,14,"20,377",68.7
2017,Glenn,1,Diabetes Short-term Complications,15,"20,443",73.4
2018,Glenn,1,Diabetes Short-term Complications,12,"20,401",58.8
2019,Glenn,1,Diabetes Short-term Complications,10,"20,882",47.9
2020,Glenn,1,Diabetes Short-term Complications,10,"21,187",47.2
2021,Glenn,1,Diabetes Short-term Complications,17,"21,045",80.8
2022,Glenn,1,Diabetes Short-term Complications,20,"20,780",96.2
2016,Glenn,3,Diabetes Long-term Complications,20,"20,377",98.1
2017,Glenn,3,Diabetes Long-term Complications,18,"20,443",88.0
2018,Glenn,3,Diabetes Long-term Complications,22,"20,401",107.8
2019,Glenn,3,Diabetes Long-term Complications,32,"20,882",153.2
2020,Glenn,3,Diabetes Long-term Complications,26,"21,187",122.7
2021,Glenn,3,Diabetes Long-term Complications,35,"21,045",166.3
2022,Glenn,3,Diabetes Long-term Complications,24,"20,780",115.5
2016,Glenn,14,Uncontrolled Diabetes,8,"20,377",39.3
2017,Glenn,14,Uncontrolled Diabetes,12,"20,443",58.7
2018,Glenn,14,Uncontrolled Diabetes,12,"20,401",58.8
2019,Glenn,14,Uncontrolled Diabetes,7,"20,882",33.5
2020,Glenn,14,Uncontrolled Diabetes,9,"21,187",42.5
2021,Glenn,14,Uncontrolled Diabetes,7,"21,045",33.3
2022,Glenn,14,Uncontrolled Diabetes,9,"20,780",43.3
2016,Glenn,93,Diabetes Composite,49,"20,377",240.5
2017,Glenn,93,Diabetes Composite,47,"20,443",229.9
2018,Glenn,93,Diabetes Composite,51,"20,401",250.0
2019,Glenn,93,Diabetes Composite,53,"20,882",253.8
2020,Glenn,93,Diabetes Composite,46,"21,187",217.1
2021,Glenn,93,Diabetes Composite,63,"21,045",299.4
2022,Glenn,93,Diabetes Composite,55,"20,780",264.7
2016,Humboldt,1,Diabetes Short-term Complications,66,"109,915",60.0
2017,Humboldt,1,Diabetes Short-term Complications,63,"110,396",57.1
2018,Humboldt,1,Diabetes Short-term Complications,70,"110,416",63.4
2019,Humboldt,1,Diabetes Short-term Complications,85,"110,113",77.2
2020,Humboldt,1,Diabetes Short-term Complications,70,"110,448",63.4
2021,Humboldt,1,Diabetes Short-term Complications,73,"109,377",66.7
2022,Humboldt,1,Diabetes Short-term Complications,63,"110,011",57.3
2016,Humboldt,3,Diabetes Long-term Complications,70,"109,915",63.7
2017,Humboldt,3,Diabetes Long-term Complications,74,"110,396",67.0
2018,Humboldt,3,Diabetes Long-term Complications,80,"110,416",72.5
2019,Humboldt,3,Diabetes Long-term Complications,81,"110,113",73.6
2020,Humboldt,3,Diabetes Long-term Complications,74,"110,448",67.0
2021,Humboldt,3,Diabetes Long-term Complications,116,"109,377",106.1
2022,Humboldt,3,Diabetes Long-term Complications,99,"110,011",90.0
2016,Humboldt,14,Uncontrolled Diabetes,23,"109,915",20.9
2017,Humboldt,14,Uncontrolled Diabetes,27,"110,396",24.5
2018,Humboldt,14,Uncontrolled Diabetes,17,"110,416",15.4
2019,Humboldt,14,Uncontrolled Diabetes,27,"110,113",24.5
2020,Humboldt,14,Uncontrolled Diabetes,26,"110,448",23.5
2021,Humboldt,14,Uncontrolled Diabetes,34,"109,377",31.1
2022,Humboldt,14,Uncontrolled Diabetes,11,"110,011",10.0
2016,Humboldt,93,Diabetes Composite,186,"109,915",169.2
2017,Humboldt,93,Diabetes Composite,187,"110,396",169.4
2018,Humboldt,93,Diabetes Composite,175,"110,416",158.5
2019,Humboldt,93,Diabetes Composite,207,"110,113",188.0
2020,Humboldt,93,Diabetes Composite,189,"110,448",171.1
2021,Humboldt,93,Diabetes Composite,234,"109,377",213.9
2022,Humboldt,93,Diabetes Composite,191,"110,011",173.6
2016,Imperial,1,Diabetes Short-term Complications,78,"127,819",61.0
2017,Imperial,1,Diabetes Short-term Complications,79,"129,153",61.2
2018,Imperial,1,Diabetes Short-term Complications,73,"129,174",56.5
2019,Imperial,1,Diabetes Short-term Complications,66,"128,967",51.2
2020,Imperial,1,Diabetes Short-term Complications,94,"128,388",73.2
2021,Imperial,1,Diabetes Short-term Complications,114,"128,464",88.7
2022,Imperial,1,Diabetes Short-term Complications,117,"128,478",91.1
2016,Imperial,3,Diabetes Long-term Complications,116,"127,819",90.8
2017,Imperial,3,Diabetes Long-term Complications,165,"129,153",127.8
2018,Imperial,3,Diabetes Long-term Complications,130,"129,174",100.6
2019,Imperial,3,Diabetes Long-term Complications,154,"128,967",119.4
2020,Imperial,3,Diabetes Long-term Complications,130,"128,388",101.3
2021,Imperial,3,Diabetes Long-term Complications,152,"128,464",118.3
2022,Imperial,3,Diabetes Long-term Complications,167,"128,478",130.0
2016,Imperial,14,Uncontrolled Diabetes,17,"127,819",13.3
2017,Imperial,14,Uncontrolled Diabetes,26,"129,153",20.1
2018,Imperial,14,Uncontrolled Diabetes,26,"129,174",20.1
2019,Imperial,14,Uncontrolled Diabetes,17,"128,967",13.2
2020,Imperial,14,Uncontrolled Diabetes,21,"128,388",16.4
2021,Imperial,14,Uncontrolled Diabetes,18,"128,464",14.0
2022,Imperial,14,Uncontrolled Diabetes,31,"128,478",24.1
2016,Imperial,93,Diabetes Composite,235,"127,819",183.9
2017,Imperial,93,Diabetes Composite,284,"129,153",219.9
2018,Imperial,93,Diabetes Composite,248,"129,174",192.0
2019,Imperial,93,Diabetes Composite,254,"128,967",196.9
2020,Imperial,93,Diabetes Composite,265,"128,388",206.4
2021,Imperial,93,Diabetes Composite,300,"128,464",233.5
2022,Imperial,93,Diabetes Composite,335,"128,478",260.7
2016,Inyo,1,Diabetes Short-term Complications,3,"14,211",21.1
2017,Inyo,1,Diabetes Short-term Complications,11,"14,164",77.7
2018,Inyo,1,Diabetes Short-term Complications,10,"14,208",70.4
2019,Inyo,1,Diabetes Short-term Complications,13,"14,295",90.9
2020,Inyo,1,Diabetes Short-term Complications,7,"15,134",46.3
2021,Inyo,1,Diabetes Short-term Complications,12,"15,080",79.6
2022,Inyo,1,Diabetes Short-term Complications,6,"14,942",40.2
2016,Inyo,3,Diabetes Long-term Complications,10,"14,212",70.4
2017,Inyo,3,Diabetes Long-term Complications,18,"14,164",127.1
2018,Inyo,3,Diabetes Long-term Complications,15,"14,208",105.6
2019,Inyo,3,Diabetes Long-term Complications,11,"14,295",76.9
2020,Inyo,3,Diabetes Long-term Complications,19,"15,134",125.5
2021,Inyo,3,Diabetes Long-term Complications,16,"15,080",106.1
2022,Inyo,3,Diabetes Long-term Complications,14,"14,942",93.7
2016,Inyo,14,Uncontrolled Diabetes,1,"14,211",7.0
2017,Inyo,14,Uncontrolled Diabetes,5,"14,164",35.3
2018,Inyo,14,Uncontrolled Diabetes,8,"14,208",56.3
2019,Inyo,14,Uncontrolled Diabetes,4,"14,295",28.0
2020,Inyo,14,Uncontrolled Diabetes,0,"15,134",0.0
2021,Inyo,14,Uncontrolled Diabetes,2,"15,080",13.3
2022,Inyo,14,Uncontrolled Diabetes,3,"14,942",20.1
2016,Inyo,93,Diabetes Composite,14,"14,212",98.5
2017,Inyo,93,Diabetes Composite,36,"14,164",254.2
2018,Inyo,93,Diabetes Composite,33,"14,208",232.3
2019,Inyo,93,Diabetes Composite,29,"14,295",202.9
2020,Inyo,93,Diabetes Composite,26,"15,134",171.8
2021,Inyo,93,Diabetes Composite,30,"15,080",198.9
2022,Inyo,93,Diabetes Composite,24,"14,942",160.6
2016,Kern,1,Diabetes Short-term Complications,518,"623,722",83.0
2017,Kern,1,Diabetes Short-term Complications,575,"629,153",91.4
2018,Kern,1,Diabetes Short-term Complications,574,"635,272",90.4
2019,Kern,1,Diabetes Short-term Complications,733,"640,390",114.5
2020,Kern,1,Diabetes Short-term Complications,750,"644,321",116.4
2021,Kern,1,Diabetes Short-term Complications,730,"651,305",112.1
2022,Kern,1,Diabetes Short-term Complications,774,"655,754",118.0
2016,Kern,3,Diabetes Long-term Complications,622,"623,722",99.7
2017,Kern,3,Diabetes Long-term Complications,803,"629,153",127.6
2018,Kern,3,Diabetes Long-term Complications,769,"635,272",121.1
2019,Kern,3,Diabetes Long-term Complications,822,"640,390",128.4
2020,Kern,3,Diabetes Long-term Complications,746,"644,321",115.8
2021,Kern,3,Diabetes Long-term Complications,783,"651,305",120.2
2022,Kern,3,Diabetes Long-term Complications,783,"655,754",119.4
2016,Kern,14,Uncontrolled Diabetes,221,"623,722",35.4
2017,Kern,14,Uncontrolled Diabetes,210,"629,153",33.4
2018,Kern,14,Uncontrolled Diabetes,183,"635,272",28.8
2019,Kern,14,Uncontrolled Diabetes,209,"640,390",32.6
2020,Kern,14,Uncontrolled Diabetes,165,"644,321",25.6
2021,Kern,14,Uncontrolled Diabetes,178,"651,305",27.3
2022,Kern,14,Uncontrolled Diabetes,167,"655,754",25.5
2016,Kern,93,Diabetes Composite,"1,433","623,722",229.7
2017,Kern,93,Diabetes Composite,"1,657","629,153",263.4
2018,Kern,93,Diabetes Composite,"1,607","635,272",253.0
2019,Kern,93,Diabetes Composite,"1,867","640,390",291.5
